id,兩難,主題
29,小華答應了班上的同學，會在星期五的下午幫忙籌備學校的畢業典禮活動，並且特別承諾會負責製作節目單。然而，這個星期的數學考試特別困難，小華在考試前的幾天得知自己的成績不如預期，感到非常焦慮，想要利用那個時間加倍複習。小華面臨著是否要信守對同學的承諾，還是優先考慮提升自己的學業成績。你會怎麼做？,承諾、學業、時間管理、責任感。
30,小文原本答應了朋友小華，會在星期六的下午一起去參加他們心儀的偶像簽名會。然而，這周的學校突然安排了一個重要的考試準備會，並要求學生在同一時間進行模擬考試。小文非常想去簽名會，但又不想違背對小華的承諾，因為小華已經期待這個活動很久了。如果你是小文，你會選擇怎麼做？,承諾、友誼、學業、時間管理。
31,小明參加了學校的志願者活動並承諾每天去清潔社區環境，但同時他的偶像在同一週末舉辦了一場簽名會，小明十分想去見偶像，但這將讓他無法履行對志願者活動的承諾。這時他面臨著兩難的選擇：是遵守對社區的承諾，還是追隨自己的偶像，實現心中的願望？如果你是小明，你會怎麼做？,承諾、責任、追夢、抉擇。
32,小華在學校參加了一個重要的科學展覽，並承諾會與他的隊友一起完成一個創意實驗。然而，展覽的前一天，他接到了心目中偶像的簽名會的邀請，這是他非常期待的機會。如果他去參加簽名會，就會錯過最後的準備時間，可能會影響隊友的努力和整體的表現。如果他選擇留在學校準備實驗，則可能會錯過這次難得的偶像見面機會。你會怎麼做？,承諾、友情、個人興趣、責任感。
33,小明和他的班級共同承諾了會一起參加學校的探訪老人院活動。然而，就在活動前一天，小明卻收到了一個偶像的演唱會門票，這是他一直夢寐以求的機會。小明面臨著兩難：他可以選擇履行對班級的承諾，參加活動為長者提供關懷；但同時他又想去看他心目中的偶像演出，這可能是一生只有一次的經歷。如果你是小明，你會怎麼做？,承諾、友情、機會成本。
34,小明在學校的社團活動中承諾會負責籌辦一場重要的校內比賽，但他最近發現自己的學業成績開始下滑，特別是在數學這一科。這場比賽需要大量的時間和精力來準備，而小明也知道，如果不專心學習，他的成績可能會影響到他升學。這時，他的好朋友告訴他，這場比賽能讓他獲得更多的經驗和人脈，但如果他選擇放棄籌辦比賽，可能會讓其他社團成員失望。小明應該履行對社團的承諾，還是專注於學業以避免未來的困難？,承諾、學業、責任、選擇。
35,在校園裡，學生小明已經承諾在周末參加一個重要的志工服務，並且他會和同學們一起清潔社區。然而，到了週末前夕，小明的偶像突然宣布要在同一天舉行一場簽名會，這是他一直期待的機會。小明面臨著選擇：是遵守對活動的承諾，與同學們一起服務社區，還是放棄承諾去見他的偶像？如果你是小明，你會怎麼做？,承諾、責任、偶像崇拜、選擇困境。
36,小文和他的同學們約好一起參加校園的志工服務，這是他們承諾過的事情。然而，在服務活動的前一天，小文接到了一個消息，他的偶像將在市中心舉辦一場簽名會，這是他一直期待的機會。如果他參加簽名會，就會違背對同學的承諾；但如果他不去簽名會，他可能會錯過與偶像見面的難得機會。你會怎麼做？,承諾、責任、個人夢想、友情。
37,小明和他的同學們之前承諾過會在周末一起參加學校的志工服務。然而，周五的時候，小明接到了一個他非常崇拜的偶像舉辦的簽名會，這是他一直夢寐以求的機會。現在他面臨著選擇：是遵守對同學的承諾，參加志工服務，還是去見他的偶像，實現自己的願望？如果你是小明，你會怎麼做？,承諾、友情、自我實現、責任感。
38,小華和他的朋友承諾好一起參加學校的志工服務，因為不僅可以協助社區，還能獲得學校的志工服務時數。然而，在活動前一天，小華接到了他最喜歡的偶像會來學校舉辦簽名會的消息，這是他一直夢寐以求的機會。如果他選擇去簽名會，將會違背對朋友和活動的承諾；但如果他參加志工服務，他又會錯過這個難得的機會。如果你是小華，你會怎麼做？,承諾、友情、機會成本、責任。
39,小文承諾了要和同學們一起參加週末的校園音樂會，因為他們特別期待這次活動。然而，到了星期五，小文的父母告訴他，家裡有重要的親戚聚會，要求他必須參加。小文感到非常矛盾，因為他不想失信於同學，但同時也不想讓父母失望。如果你是小文，你會怎麼做？,承諾、家庭責任、友情、抉擇。
40,你和同學約好一起參加學校的義工活動，並承諾會在活動中負責清潔環境。然而，就在活動的前一天，你的偶像突然宣布將在同一天舉行見面會，你非常想去，但這意味著你將無法履行對同學的承諾。面對這樣的選擇，你會怎麼做？,承諾、責任、偶像崇拜。
41,小明答應了他的好朋友參加周末的籃球比賽，但同時他也有一個重要的數學考試需要準備。如果他參加比賽，可能會影響他的考試成績；如果他放棄比賽，則會失去和好朋友共度時光的機會，並因為違背了承諾而失望。你會選擇怎麼做？,承諾、友情、學業、責任。
42,你和你的同學約好要一起參加學校的志工服務，並承諾會一起清理校園環境。然而，當天你卻收到了一個消息，你最喜歡的偶像將會在同一天舉行一場粉絲見面會，這是你一直期待的機會。你面臨著要遵守對同學的承諾，還是追尋自己的熱情。你會怎麼做？,承諾、友情、熱情、自我實現。
43,你和好友約好週末一起去參加一場你們都期待已久的音樂會，但就在前一天，班上老師臨時安排了一個重要的小測，並要求大家在週末準備。你知道這次小測對你的學業成績影響很大，而你的好友已經為這場音樂會準備了很久，甚至買了票。你會放棄音樂會去準備小測，還是堅持陪伴好友，共同享受這次活動？,承諾、學業、友情。
44,你和朋友約定好一起參加校內志工服務，這不僅能增進友誼，還能獲得學校的服務時數。然而，前一天你突然得知偶像的粉絲見面會正好在當日舉行，而這是你非常期待的機會。如果你是這位學生，你會選擇遵守對朋友的承諾，參加志工服務，還是為了自己的興趣而忽視這個約定，去參加見面會？,承諾、自我興趣、友情。
45,你和你的同學約好一起為學校的環保活動進行清潔工作，這樣不僅能獲得社區服務的時數，還能提升班級的團隊合作精神。可是，前一天你得知你最喜歡的偶像將在同一天舉行粉絲見面會，這是你一直期待的機會。如果你參加清潔活動，可能會失去見偶像的機會；但如果你去見偶像，則會違背對同學的承諾。你會怎麼做？,承諾、責任、選擇。
46,在班級的期末報告中，你和幾位同學約好一起合作，承諾每個人負責不同部分，並在截止日前完成。然而，臨近截止日時，你的偶像發佈了一個期待已久的演唱會直播，你非常想觀看，但這會讓你無法完成報告的部分。你會選擇怎麼做？,承諾、責任、時間管理。
47,你的班級即將舉辦一個重要的慈善活動，而你已經承諾會負責活動的宣傳工作。然而，就在活動前夕，你最喜歡的偶像宣布將在附近舉行一場簽名會，這是你期待已久的機會。如果你去參加簽名會，可能會影響活動的準備和宣傳效果；但如果你選擇放棄簽名會，可能會感到失落。你會怎麼做？,承諾、責任、個人興趣。
48,你和朋友約定了周末一起參加學校的義工活動，這是你們之前承諾過的事情。然而，當你回到家後，發現自己最喜歡的偶像在當日有一場特別的粉絲見面會，你一直想去參加。你會選擇遵守對朋友的承諾，參加義工活動，還是去看偶像的見面會？,承諾、友情、個人興趣。
49,你和你的同學約好一起參加學校的志工服務，並承諾一起負責清潔校園。然而，活動的前一天，你接到了一個偶像的簽名會邀請，這是你一直期待的機會。你知道如果不去簽名會，將會錯過與偶像互動的機會，但如果缺席志工服務，會讓同學失望，並破壞你們的約定。該怎麼做呢？,承諾、責任、選擇。
50,在學校的社團活動中，你和朋友約定要一起參加一個重要的比賽，並且你們都對此充滿期待。然而，臨近比賽的時候，你的父母突然要求你參加一個家庭聚會，這是他們事先已經計劃好的，且這次聚會對他們而言非常重要。這樣一來，你就面臨了違背對朋友的承諾和孝順父母的兩難。你會怎麼做？,承諾、責任、家庭、友情。
51,在校園內，你和朋友約定一起參加一個社區服務活動，這個活動不僅能幫助別人，還能獲得學校的服務學分。然而，當天你的偶像恰好在附近舉辦簽名會，你非常想去參加，但這樣會違背對朋友的承諾。你會怎麼做？,承諾、友情、追星、責任。
52,班級即將舉辦一年一度的運動比賽，而你之前答應了好友一起參加他們的生日派對。運動比賽是你一直想參加的活動，但好友的生日派對也很重要，你不想失信於好友。如果你是這位學生，面對這樣的選擇，你會選擇怎麼做？,承諾、友誼、責任、選擇。
53,你和朋友約好在周末一起參加一個志願者活動，你已經承諾會到場並幫忙。不過，剛好那天你最喜歡的偶像也在舉辦一場粉絲見面會，這是你一直期待的機會。你面臨著要遵守對朋友的承諾，還是去追尋自己的熱情。你會怎麼做？,承諾、熱情、友情。
54,小明參加了學校的科學展覽，並向他的好友小華承諾會一起合作完成一個項目。然而，在展覽前夕，小明得知自己最喜歡的偶像將在當日舉行簽名會，這是他一直夢寐以求的機會。他非常想去，但同時又不想失信於小華。如果你是小明，你會怎麼做？,承諾、友情、個人興趣。
55,在班級中，你和幾位同學約定好要一起參加學校的志工服務，並承諾會一起負責清潔教室。但就在活動的前一天，你接到了一個偶像演唱會的門票，這是你期待已久的機會，卻與志工服務的時間重疊。你面臨著是否遵守對同學的承諾，還是去享受這難得的演唱會。你會怎麼做？,承諾、責任、抉擇。
56,小明答應了好友小華，週末一起去參加他的生日派對，並且提前準備了禮物。然而，到了週末，小明卻收到了一個重要的數學考試補習班的通知，這個補習班的時間正好和小華的派對重疊。小明知道，參加補習班對於即將到來的考試非常重要，但他也不想讓小華失望。如果你是小明，你會怎麼做？,承諾、責任、友情、學業。
57,你和幾位同學約好在周末一起參加一個義工活動，並且承諾會為社區清理環境。但在此之前，你的偶像突然宣布要在同一個時間舉行一場粉絲見面會，這是你一直夢寐以求的機會。面對這樣的情況，你會選擇怎麼做？,承諾、責任、偶像崇拜。
58,你和你的同學們約定在週末一起進行一次社區清潔活動，並且你已經向大家承諾會參加。然而，到了週末，你卻收到了一個偶像的簽名會邀請，這是你一直夢寐以求的機會，時間正好和清潔活動重疊。如果你參加簽名會，就會違背對同學的承諾；但如果你選擇不去簽名會，可能會錯過一次難得的經歷。你會怎麼做？,承諾、選擇、責任、機會。
59,你和你的好友約好這週末一起參加一個學校的志工服務，並且承諾要一起完成清潔和整理工作。然而，到了週末，你的偶像突然宣布要在當日舉行一場簽名會，這是你期待已久的機會，對你非常重要。在這個情境下，你會怎麼做？,承諾、選擇、責任、追求夢想。
60,小王和朋友約好週末一起去參加音樂會，這是他們期待已久的活動。然而，當小王回到學校時，發現有一個重要的考試安排在下一天，這考試的成績可能會影響他的學期成績。如果是你，你會選擇遵守和朋友的約定，還是放棄音樂會去準備考試？,承諾、責任、選擇。
61,你和你的同學約好一起參加學校的志工服務，並承諾會一起負責搬運器材。然而，前一天晚上，你的偶像突然宣布會在城裡舉行簽名會，並邀請大家參加。這是你夢寐以求的機會，但你知道如果缺席會讓同學失望，影響你們的團隊合作。你會怎麼做？,承諾、責任、選擇。
62,你和好朋友約定每星期六一起去圖書館複習功課，這樣可以互相幫助提高成績。然而，這星期六你最喜歡的偶像突然宣布舉辦粉絲見面會，這是一次難得的機會。如果你參加見面會，就無法履行對好朋友的承諾；但如果你不去，可能會錯過與偶像面對面的機會。你會怎麼做？,承諾、友情、優先次序。
63,小華答應了朋友一起參加周末的籃球比賽，但在比賽前一天，他的數學老師告訴他如果能在比賽前完成一份重要的作業，將會給他加分。這份作業需要幾個小時來完成，而比賽時間也正好與作業的截止時間重疊。如果你是小華，你會選擇怎麼做？,承諾、責任、學業、友誼。
64,在學校的志願者活動中，你和朋友承諾一起參加一個社區清潔活動，目的是為了改善環境並獲得志願者證書。然而，臨近活動的時候，你接到了一個偶像的簽名會通知，這是你一直夢寐以求的機會，且時間與清潔活動重疊。如果你是參加活動的學生，你會選擇遵守對朋友和社區的承諾，還是去參加這個難得的簽名會？,承諾、責任、選擇。
65,你的班級即將舉辦一次大型的慈善活動，你已經承諾幫忙組織和策劃。然而，同時你也收到了偶像的演唱會門票，這是你夢寐以求的機會，演唱會正好在慈善活動的同一天。如果你參加演唱會，班級的活動可能會受到影響，但如果你不去，這可能會讓你錯過一次難得的經歷。如果你是這位學生，你會怎麼做？,承諾、責任、選擇。
66,在學校的科學展中，你和組員約定一起合作製作一個實驗模型，並且你承諾會負責整個模型的設計。然而，臨近展覽的日子，你偶然得知你的偶像會在同一天舉行簽名會，這是你一直期待的機會。如果你選擇去參加簽名會，你就無法完成承諾；但如果你選擇留下來，你將失去這個夢寐以求的機會。你會怎麼做？,承諾、責任、選擇。
67,你和你的隊友計劃一起參加一個重要的科學比賽，並承諾每個人都要全力以赴。然而，前一天晚上，你的偶像在社交媒體上宣布了一場突如其來的線上簽名會，這是你夢寐以求的機會。如果你參加簽名會，可能會影響到比賽的準備，甚至讓團隊失去信心。你會怎麼做？,承諾、責任、夢想、友情。
68,你和你的好友約好一起參加學校的志工服務，並承諾會一起到場幫忙清理校園。然而，當天你突然收到你最喜歡的偶像在附近舉行的簽名會，這是你一直期待的機會。如果你去簽名會，就會違背對好友的承諾，且可能影響到活動的進行；如果不去簽名會，你又會錯過這個難得的機會。你會怎麼做？,承諾、友情、機會成本。
69,在專題會議中，你和幾位同學約好星期六一起做問卷調查，並承諾會積極收集資料。然而，星期四晚上，你的偶像宣布會在星期六舉行簽名會，這是你夢寐以求的機會。如果你參加簽名會，你將違背對同學的承諾，也會影響專題研習，但如果不去，你又會為錯過感到遺憾。你會怎麼做？,承諾、責任、個人興趣、選擇。
70,你和朋友約好在周末一起參加一個社區清潔活動，以提升居住環境的整潔度。然而，就在活動前一天，你收到了偶像的簽名會邀請，這是你夢寐以求的機會，但時間正好衝突。你知道參加清潔活動是對社區的承諾，但這次簽名會對你來說意義重大。在這個情境下，你會怎麼做？,承諾、責任、選擇。
71,在年度跨校運動會上，你和幾位好友承諾代表學校一起參加接力賽，並且為此練習了好幾個星期。可是，到了比賽前一天，你的偶像在社交媒體上發佈了即將舉行的見面會，這正好在同一日舉行。你非常想去見偶像，但同時也不想違背對學校和朋友的承諾。你會怎麼做？,承諾、友情、興趣。
72,小文前天承諾和同學一起探望老人院，為長者提供關懷和陪伴。然而，前一天他接到了偶像的粉絲見面會活動通知，這是他期待已久的機會，但時間正好和探望時間衝突。如果是你，你會選擇怎麼做？,承諾、選擇、責任、熱情。
73,在學校的期末考試前夕，你和幾位同學約定一起學習，並承諾會互相幫助以確保大家都能順利通過。然而，就在考試前一天，你突然收到了一個偶像的粉絲見面會邀請，這是你一直夢寐以求的機會，但這將使你無法參加原定的學習計劃。你會怎麼做？,承諾、友情、機會、責任。
74,你和朋友約好星期日一起參加之前承諾的學校志工服務。但就在那天，你的偶像突然宣布舉行一場簽名會，這是你一直期待的機會。如果你去參加簽名會，就會失信於朋友；如果你選擇遵守承諾，則可能錯過這次難得的機會。你會怎麼做？,承諾、友情、選擇。
75,小志和他的朋友約定一起參加學校的志願清潔活動，並承諾每個人都要準時到場。然而，前一天他收到了一張他偶像的演唱會門票，這是他夢寐以求的機會，但演唱會的時間恰好和清潔活動重疊。如果他缺席清潔活動，可能會讓朋友失望並破壞了他們的承諾。如果你是小志，你會怎麼做？,承諾、友情、責任、夢想。
76,你和幾位同學約好在星期日一起去參加一個重要的音樂會，這是你們期待已久的活動。然而，當天你發現你的課業壓力很大，還有一個重要的作文需要完成，這樣可能會影響你的成績。如果你不去音樂會，可能會讓同學失望，但如果去，可能會影響你的學業表現。你會怎麼做？,承諾、責任、時間管理。
77,你和你的好友約好一起參加學校的義工活動，這對你們來說是一次增進友誼和服務社會的好機會。然而，到了活動前一天，你突然收到你最喜歡的偶像的簽名會邀請，這是你一直夢寐以求的機會，但同時你也知道這會讓你的好友感到失望。你會怎麼做？,承諾、友誼、責任、夢想。
78,在班級的年度藝術展上，你答應了你的好友小明，會幫他一起製作他的藝術作品，因為他最近學業繁忙。然而，當你回到家時，發現自己也有一個重要的作業需要在截止日期前完成，而且這個作業的分數會影響你的期末成績。你面臨著是否要推遲幫助小明，從而可能讓他失望，還是堅守承諾，卻可能影響自己的學業表現。你會怎麼做？,承諾、學業、友誼、責任。
79,在班級中，你和朋友約定一起參加一個為期兩天的志願者活動，並且你們都非常期待這次機會。然而，臨近活動的時候，你的偶像宣布了他們的演唱會，恰好在同一個時間舉行。這是你一直夢寐以求的機會，但你知道如果缺席志願者活動，你會違背對朋友的承諾。你會怎麼做？,承諾、友情、夢想、選擇。
80,你和朋友約好這個星期六一起去參加學校的志願者活動，並且你們都承諾會一起做好清潔工作。然而，到了星期五，你卻收到了一個你非常喜歡的偶像的簽名會的通知，這個活動恰好和志願者活動時間重疊。如果你參加簽名會，就會違背對朋友的承諾，讓他失望；但如果你去志願者活動，則會錯過這個難得的機會。你會怎麼做？,承諾、友情、選擇、機會。
81,在學校即將舉行的運動會上，你和你的隊友約定一起參加接力賽，並且你們已經為此進行了不少訓練。然而，這個時候你心儀的偶像將要在同一天舉辦粉絲見面會，這是你千載難逢的機會。在這個情况下，你會選擇怎麼做？,承諾、友情、選擇、責任。
82,假設你參加了一個學校的志願者活動，你和朋友承諾一起去清理社區的公園。然而，活動當天，你的偶像突然在附近舉辦了一場簽名會，你非常想去見他。如果你去簽名會，就會違背對朋友的承諾，也會影響到志願者活動的進行。你會怎麼做？,承諾、友誼、責任、興趣。
83,在學校的音樂會前，你答應了你的好友要一起練習演奏吉他，但同時你也參加了班上的清潔活動，這個活動的時間與練習約定的時間重疊。你的好友非常期待這次演出，因為他相信你們的表演能夠打動觀眾，而班級的清潔活動對於整體環境也非常重要。如果你選擇參加清潔活動，可能會讓你的好友失望；如果你選擇練習，則可能會被老師責備，並影響班級的整體表現。你會怎麼做？,承諾、責任、友情、選擇。
84,你和朋友約好在周末一起去參加一個音樂會，並且你們早已購買了票。然而，前一天晚上，你的老師突然宣布星期一有一個小測，這個小測會影響你的期末成績。如果你不及時溫習，將會影響你的學業表現。你面臨著選擇：是遵守對朋友的承諾，去享受音樂會，還是放棄這次活動，專心準備小測？,承諾、學業、友情、責任。
85,你和朋友約定在周末一起參加一個關於環保的志願者活動，並承諾會一起清理社區公園。然而，到了週末，你的偶像突然宣布在同一時間舉辦一場簽名會，而你一直非常想見他。你知道參加志願者活動對環保非常重要，但見到偶像對你來說也意義重大，甚至可能是一生只有一次的機會。你會怎麼做？,承諾、友情、責任、個人興趣。
86,小華和他的好朋友約定一起參加學校的志願者清潔活動，以幫助社區保持環境整潔。然而，活動前一天，小華的偶像突然宣布將在同一天舉行簽名會，這是他一直期待的機會。如果你是小華，你會選擇履行對朋友的承諾，還是去參加偶像的簽名會？,承諾、友情、選擇、責任。
87,你和幾位同學約好一起參加學校的志工服務，這次活動不僅能幫助社區，還能獲得學校的社會服務學分。然而，活動的前一天，你收到了一位偶像的簽名會邀請，這是你一直夢寐以求的機會。你知道如果錯過這次機會，你可能會很失望，但你也不想失信於同學們，因為你們已經共同承諾參加這次服務活動。面對這樣的抉擇，你會怎麼做？,承諾、責任、選擇。
88,你和朋友約好一起參加學校的義工活動，並承諾一定會準時到達。然而，當天你發現你的偶像在當日有一場粉絲見面會，你非常想去，但又不想失信於朋友。在這個情况下，你該怎麼做？,承諾、友情、興趣、責任。
89,你和朋友約好周末一起參加社區清潔活動，你們已經提前商量好要一起合作，並且你向老師承諾會準時到場。然而，到了周末，你的偶像突然宣布會在當日舉行一場粉絲見面會，這是你一直夢寐以求的機會，並且你已經買好了票。此時，你面臨著要履行對朋友和老師的承諾，還是放棄清潔活動去參加偶像的見面會。你會怎麼做？,承諾、選擇、友情、偶像。
